###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59407.616284 -18.591  0.492  -133   65 c  0   0.89  44.00000  22.00000   827.01  3356.80 2.84 2.68 -47.9 -0.389 17.22 18.60 02a59407o0778c
59409.594244 -22.700  3.182    -3   10 o  0   1.05  44.00000  22.00000  5811.59  7429.88 2.09 2.02 -44.6 -0.415 19.48 20.59 01a59409o0734o
59409.610766  21.555  1.398     9   12 o  0   0.84  44.00000  22.00000  5796.58  7390.77 2.12 2.07 -53.5 -0.409 19.42 20.44 01a59409o0768o
59409.619850 -20.324  0.612   -27   16 o  0   1.14  44.00000  22.00000  5854.37  7467.12 2.17 2.11 -56.7 -0.408 18.84 19.18 01a59409o0787o
59413.583147  21.383  1.054    10   11 o  0   1.75  44.00000  22.00000  5811.75  7429.34 2.13 2.05 -20.4 -0.398 19.37 20.25 01a59413o0712o
59413.605489 -21.097  0.898   -13   12 o  0   1.00  44.00000  22.00000  5794.76  7386.38 2.05 1.95 -56.9 -0.412 19.41 20.27 01a59413o0757o
59413.615630 -19.833  0.423   -42   18 o  0   1.13  44.00000  22.00000  5858.84  7469.26 2.88 2.84   3.3 -0.433 18.94 20.01 01a59413o0778o
59413.623471 -20.654  1.585   -20   32 o  0   1.16  44.00000  22.00000  5879.15  7353.17 3.04 2.98  21.4 -0.414 18.34 18.86 01a59413o0794o
59421.581128  21.500  1.739     9   16 o  0   1.52  44.00000  22.00000  2626.10  3272.40 2.20 2.16  59.9 -0.400 19.05 19.57 01a59421o0332o
59421.584813 -23.456 10.471    -2   16 o  0   1.24  44.00000  22.00000  2609.11  3236.41 2.08 2.06  12.4 -0.396 19.10 19.58 01a59421o0340o
59421.592333  20.703  0.924    19   18 o  0   0.89  44.00000  22.00000  2668.76  3314.02 2.25 2.21  37.4 -0.403 18.99 19.61 01a59421o0356o
59421.604866  21.140  1.651    13   21 o  0   0.87  44.00000  22.00000  2687.97  3194.16 2.72 2.63  68.4 -0.393 18.86 19.60 01a59421o0383o
59433.603251  20.922  0.626    16   10 c  0   1.04  44.00000  22.00000  8827.89  3484.20 2.74 2.57 -72.0 -0.364 19.73 21.60 01a59433o0774c
59433.615743  21.855  1.481     7   10 c  0   0.72  44.00000  22.00000  8806.30  3442.11 2.73 2.58 -79.0 -0.370 19.73 21.56 01a59433o0799c
59433.618050 -24.116 10.714    -1    9 c  0   0.85  44.00000  22.00000  8864.62  3520.25 2.64 2.45 -78.0 -0.375 19.72 21.50 01a59433o0804c
59433.628360  23.483 10.000     2   15 c  0   0.75  44.00000  22.00000  8887.35  3404.33 2.83 2.67 -67.2 -0.361 19.21 20.30 01a59433o0823c
59435.575153 -20.481  0.563   -23   13 o  0   1.10  44.00000  22.00000  9987.65  9138.51 2.57 2.08 -46.6 -0.435 19.50 20.63 02a59435o0726o
59435.591718 -21.159  1.022   -12   13 o  0   1.32  44.00000  22.00000 10008.42  9181.44 2.87 1.99 -51.2 -0.427 19.54 20.67 02a59435o0759o
59435.597764 -19.990  0.449   -37   16 o  0   0.77  44.00000  22.00000  9950.59  9103.00 2.48 2.09 -48.1 -0.425 19.54 20.65 02a59435o0771o
59435.600064  22.192  2.886     5   14 o  0   1.16  44.00000  22.00000  9931.03  9220.71 2.68 2.09 -46.5 -0.416 19.54 20.66 02a59435o0776o
59441.584814  21.141  0.573    13    7 c  0   1.48  44.00000  22.00000  8057.13  9682.75 2.55 2.35 -88.0 -0.358 19.79 21.63 01a59441o0741c
59441.591186 -23.393  5.400    -2    9 c  0   1.62  44.00000  22.00000  8038.87  9643.01 2.56 2.25 -86.7 -0.386 19.50 21.88 01a59441o0754c
59441.607806  21.419  0.796    10    8 c  0   1.03  44.00000  22.00000  8097.84  9720.69 2.52 2.31  70.3 -0.360 19.85 21.67 01a59441o0786c
59441.611569 -22.858  2.870    -3    8 c  0   1.32  44.00000  22.00000  8117.88  9603.80 2.60 2.42  73.7 -0.357 19.79 21.68 01a59441o0794c
59443.579670 -22.799  4.045    -3   11 o  0   1.52  44.00000  22.00000  8006.07  9249.98 2.25 2.19 -75.9 -0.437 19.57 20.74 02a59443o0732o
59443.582872  22.376  2.941     4   12 o  0   1.17  44.00000  22.00000  8026.04  9289.63 2.22 2.10 -63.2 -0.451 19.58 20.76 02a59443o0739o
59443.588979 -21.158  1.083   -12   14 o  0   0.75  44.00000  22.00000  7965.97  9212.11 2.16 2.10 -79.5 -0.447 19.61 20.84 02a59443o0752o
59443.603981 -20.996  0.851   -14   12 o  0   0.97  44.00000  22.00000  7948.11  9330.73 2.20 2.15 -88.1 -0.439 19.62 20.90 02a59443o0782o
59445.540901  21.240  0.860    12   10 o  0   1.23  44.00000  22.00000  8060.99  9697.40 2.29 1.80  47.6 -0.388 19.46 20.24 01a59445o0625o
59445.544127  21.278  0.921    11   10 o  0   1.32  44.00000  22.00000  8039.13  9652.14 2.00 1.93  86.0 -0.402 19.49 20.32 01a59445o0632o
59445.551400 -22.539  2.429    -4    8 o  0   1.51  44.00000  22.00000  8095.78  9727.45 2.03 1.95  85.5 -0.409 19.60 20.58 01a59445o0647o
59445.561593  20.675  0.356    20    7 o  0   1.99  44.00000  22.00000  8120.17  9612.29 2.05 1.95  69.0 -0.410 19.72 20.90 01a59445o0669o
59447.535503  22.238  4.805     5   22 o  0   0.69  44.00000  22.00000  7996.26  9247.87 2.18 2.02 -58.0 -0.457 19.06 19.43 02a59447o0550o
59447.538283  20.125  0.608    32   20 o  0   0.88  44.00000  22.00000  8014.61  9287.47 2.21 2.03 -57.1 -0.450 19.02 19.42 02a59447o0556o
59447.544274 -21.912  3.400    -6   21 o  0   1.06  44.00000  22.00000  7955.58  9210.56 2.15 2.05 -61.1 -0.446 19.08 19.48 02a59447o0569o
59447.560017  20.880  1.113    16   18 o  0   1.34  44.00000  22.00000  7937.57  9326.71 2.18 2.06 -63.4 -0.441 19.12 19.55 02a59447o0599o
59449.528930 -21.323  1.378   -11   15 o  0   1.10  44.00000  22.00000  4226.27  9860.75 1.93 1.82 -61.5 -0.423 19.10 19.33 01a59449o0532o
59449.532174  21.680  1.782     8   14 o  0   2.31  44.00000  22.00000  4208.54  9821.74 2.10 2.00 -54.6 -0.418 19.03 19.35 01a59449o0539o
59449.536316  22.311  4.259     4   18 o  0   0.80  44.00000  22.00000  4265.70  9898.52 2.00 1.89 -72.0 -0.416 19.07 19.36 01a59449o0548o
59451.556031 -20.695  0.913   -19   18 o  0   0.83  44.00000  22.00000  2911.15  5157.58 2.11 1.82  42.3 -0.453 19.00 19.35 02a59451o0689o
59451.559000  21.014  1.056    14   15 o  0   1.43  44.00000  22.00000  2930.19  5197.33 2.10 1.85  39.4 -0.451 18.89 19.30 02a59451o0695o
59451.573867  23.425 11.125     2   17 o  0   0.91  44.00000  22.00000  2877.10  5119.56 2.06 1.83  35.3 -0.462 19.00 19.42 02a59451o0722o
59451.579582  20.937  1.061    15   16 o  0   1.41  44.00000  22.00000  2855.80  5236.91 2.04 1.79  40.1 -0.453 19.02 19.46 02a59451o0734o
59457.579403 -21.858  1.329    -7    9 o  0   1.15  44.00000  22.00000  9608.69  5330.75 2.02 1.93 -73.5 -0.443 19.67 20.69 01a59457o0716o
59457.583580  22.082  2.066     5   11 o  0   1.34  44.00000  22.00000  9589.90  5291.70 2.04 2.01 -75.7 -0.444 19.66 20.71 01a59457o0725o
59457.589604  22.844  4.207     3   11 o  0   0.80  44.00000  22.00000  9649.23  5370.71 2.07 2.06 -20.0 -0.445 19.62 20.70 01a59457o0738o
59457.618292  21.018  0.670    14   10 o  0   1.25  44.00000  22.00000   864.89  5347.34 1.80 1.69 -51.4 -0.444 19.71 20.67 01a59457o0795o
59457.638030 -18.752  4.000  -115  458 o  0   1.10  44.00000  22.00000   908.95  5284.17 2.10 2.00 -71.9 -0.402 15.17 14.71 01a59457o0835o
59461.553262 -21.993  1.681    -6   10 o  0   0.87  44.00000  22.00000  9607.98  5332.81 2.02 1.93 -77.1 -0.446 19.76 20.96 01a59461o0696o
59461.555566 -23.758  8.154    -1    9 o  0   0.88  44.00000  22.00000  9588.51  5293.07 2.04 1.98 -72.1 -0.446 19.74 20.98 01a59461o0701o
59461.558787  21.629  1.189     8   10 o  0   0.80  44.00000  22.00000  9646.88  5370.75 2.09 1.99 -68.0 -0.450 19.75 20.99 01a59461o0708o
59461.583896  21.992  1.324     6    8 o  0   1.90  44.00000  22.00000  9666.56  5253.85 1.98 1.91 -35.4 -0.445 19.80 21.03 01a59461o0760o
59463.607367  21.807  2.059     7   14 c  0   1.03  44.00000  22.00000  6133.99  9764.61 2.60 2.49 -51.5 -0.412 19.34 21.17 02a59463o0127c
59463.610209 -19.788  0.812   -44   36 c  0   1.42  44.00000  22.00000  6115.58  9726.11 2.56 2.43 -54.8 -0.421 18.19 19.97 02a59463o0133c
59463.615339  21.820 17.250     7  117 c  0   0.96  44.00000  22.00000  6172.40  9806.13 2.69 2.49 -54.3 -0.421 17.06 18.87 02a59463o0144c
59463.622611 -18.458  0.457  -150   69 c  0   1.47  44.00000  22.00000  6189.23  9688.66 2.85 2.57 -55.6 -0.413 17.52 19.37 02a59463o0157c
59465.543629 -21.034  0.747   -14   10 o  0   1.08  44.00000  22.00000  4532.58  1221.86 1.93 1.82  48.9 -0.441 19.70 20.68 01a59465o0698o
59465.545536  21.217  0.830    12   10 o  0   0.95  44.00000  22.00000  4512.81  1182.86 1.91 1.80  45.0 -0.450 19.69 20.67 01a59465o0702o
59465.549218 -21.875  1.286    -6    8 o  0   1.46  44.00000  22.00000  4572.27  1261.96 1.91 1.72  49.8 -0.441 19.72 20.67 01a59465o0710o
59465.565785  21.835  1.341     7    9 o  0   1.27  44.00000  22.00000  4590.25  1145.18 1.99 1.84  38.7 -0.441 19.71 20.79 01a59465o0742o
59465.638363 -20.704  1.013   -19   19 o  0   0.90  44.00000  22.00000  6016.26  9354.55 2.20 1.91  50.5 -0.380 18.80 19.25 01a59465o0891o
59467.484097 -22.366  2.033    -4    8 c  0   1.35  44.00000  22.00000  5997.34  7396.43 2.59 2.31  39.8 -0.396 19.63 21.47 02a59467o0559c
59467.486385 -20.430  0.464   -24   11 c  0   0.60  44.00000  22.00000  6017.97  7435.14 2.55 2.29  39.8 -0.401 19.68 21.46 02a59467o0564c
59467.489142  21.451  0.910    10    9 c  0   1.60  44.00000  22.00000  5958.48  7357.58 2.62 2.36  39.2 -0.395 19.65 21.46 02a59467o0570c
59467.494644  21.679  1.019     8    8 c  0   1.81  44.00000  22.00000  5939.26  7474.65 2.60 2.40  40.7 -0.401 19.68 21.47 02a59467o0582c
59469.513007 -22.495  3.611    -4   13 o  0   1.34  44.00000  22.00000  4415.62  1220.71 3.02 2.67 -49.7 -0.510 19.36 20.83 01a59469o0533o
59469.515425  22.748  5.214     3   15 o  0   0.95  44.00000  22.00000  4394.34  1182.10 3.03 2.69 -48.4 -0.514 19.39 20.85 01a59469o0538o
59469.520275 -20.467  0.673   -24   16 o  0   1.02  44.00000  22.00000  4458.02  1260.09 3.13 2.75 -48.4 -0.502 19.35 20.82 01a59469o0547o
59469.530585 -20.752  0.720   -18   13 o  0   1.17  44.00000  22.00000  4472.94  1141.18 2.97 2.61 -51.0 -0.521 19.38 20.78 01a59469o0568o
59475.514582 -19.410  0.651   -62   41 o  0   1.53  44.00000  22.00000  8544.75  1074.64 2.04 1.77 -53.4 -0.484 17.99 18.06 02a59475o0648o
59475.516435 -20.031  1.035   -35   36 o  0   1.56  44.00000  22.00000  8563.17  1114.94 2.04 1.77 -53.9 -0.480 18.09 18.22 02a59475o0652o
59475.519656  19.086  0.454    84   38 o  0   1.20  44.00000  22.00000  8507.23  1037.47 2.22 1.96 -49.3 -0.446 18.05 18.29 02a59475o0659o
