###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59519.451409  21.396  0.810    10    8 c  0   1.20  44.00000  22.00000  5804.56  7433.82 2.50 2.24  43.2 -0.404 19.76 21.54 02a59519o0576c
59519.457926  23.288  5.357     2    9 c  0   0.90  44.00000  22.00000  5784.73  7398.54 2.44 2.26  40.6 -0.401 19.74 21.57 02a59519o0590c
59519.461759  20.860  0.557    16    9 c  0   1.25  44.00000  22.00000  5844.36  7476.57 2.46 2.24  42.2 -0.405 19.75 21.55 02a59519o0598c
59519.471915 -21.643  1.148    -8    9 c  0   0.97  44.00000  22.00000  5864.39  7360.45 2.51 2.31  48.8 -0.399 19.75 21.54 02a59519o0619c
59521.431516 -21.211  1.324   -12   16 o  0   0.84  44.00000  22.00000  9921.51  7083.84 2.78 2.70 -89.6 -0.455 19.34 20.69 01a59521o0543o
59521.434812  19.621  0.293    52   15 o  0   1.13  44.00000  22.00000  9943.26  7121.49 2.81 2.76  79.3 -0.449 19.34 20.69 01a59521o0550o
59521.443176 -24.257 20.250    -1   15 o  0   0.89  44.00000  22.00000  9883.76  7045.76 2.80 2.74 -89.5 -0.455 19.35 20.72 01a59521o0567o
59521.459978  20.312  0.535    27   15 o  0   1.12  44.00000  22.00000  9872.50  7161.76 2.88 2.83  56.8 -0.439 19.34 20.78 01a59521o0602o
59523.435171 -19.789  0.410   -44   18 c  0   0.83  44.00000  22.00000  2617.90  3275.74 5.14 4.21 -17.5 -0.313 18.92 21.35 02a59523o0552c
59523.438830 -22.954  4.500    -2   11 c  0   1.10  44.00000  22.00000  2597.67  3235.51 3.29 2.79   6.9 -0.363 19.38 21.37 02a59523o0560c
59523.444367  25.184 32.000     0   10 c  0   0.81  44.00000  22.00000  2656.89  3312.92 2.71 2.58   9.7 -0.376 19.53 21.38 02a59523o0572c
59523.457720 -21.903  1.543    -6   10 c  0   1.17  44.00000  22.00000  2676.85  3196.65 2.52 2.41  43.2 -0.394 19.56 21.37 02a59523o0600c
59525.305093  20.862  1.019    16   17 o  0   0.88  44.00000  22.00000   625.64  3491.84 2.53 2.45  -6.3 -0.542 19.17 20.46 01a59525o0262o
59525.308324 -22.104  3.630    -5   19 o  0   0.77  44.00000  22.00000   599.14  3447.86 2.94 2.60 -42.0 -0.530 19.20 20.46 01a59525o0269o
59525.313903  23.981 19.200     1   18 o  0   0.98  44.00000  22.00000   660.89  3523.00 2.87 2.52 -47.2 -0.536 19.22 20.47 01a59525o0281o
59525.319003 -21.170  1.277   -12   16 o  0   1.27  44.00000  22.00000   679.55  3405.81 2.89 2.59 -47.7 -0.530 19.19 20.45 01a59525o0292o
59527.347968  25.238 33.000     0   10 c  0   1.23  44.00000  22.00000  7958.17  7290.63 2.56 2.41  41.1 -0.400 19.62 21.28 02a59527o0355c
59527.350256 -21.154  0.756   -12   10 c  0   1.64  44.00000  22.00000  7978.06  7329.33 2.53 2.43  46.8 -0.396 19.57 21.26 02a59527o0360c
59527.355810  21.405  1.172    10   12 c  0   1.11  44.00000  22.00000  7917.97  7254.41 2.55 2.41  41.1 -0.396 19.54 21.19 02a59527o0372c
59527.360859 -21.030  0.797   -14   11 c  0   1.00  44.00000  22.00000  7898.30  7371.13 2.58 2.45  42.5 -0.396 19.29 20.96 02a59527o0383c
59529.428802  21.474  1.320     9   12 o  0   1.07  44.00000  22.00000 10054.61  9027.33 2.95 2.84  73.5 -0.404 19.45 21.17 01a59529o0506o
59529.435701  22.518  3.632     4   13 o  0   0.94  44.00000  22.00000 10077.39  9064.89 2.98 2.84  70.4 -0.402 19.45 21.17 01a59529o0520o
59529.438507 -21.279  1.082   -11   12 o  0   1.33  44.00000  22.00000 10015.56  8989.26 2.93 2.81  78.4 -0.403 19.51 21.19 01a59529o0526o
59529.451340 -20.940  0.866   -15   13 o  0   0.99  44.00000  22.00000 10001.58  9106.92 2.97 2.80  73.5 -0.407 19.43 21.14 01a59529o0553o
59531.425185  22.094  8.710     5   46 o  0   0.78  44.00000  22.00000  1626.87  7157.52 1.98 1.93  14.6 -0.441 18.06 18.38 02a59531o0517o
59531.428029 -19.430  0.699   -61   43 o  0   1.39  44.00000  22.00000  1607.94  7119.18 2.04 1.94  56.2 -0.436 18.17 18.48 02a59531o0523o
59531.434992  22.955  8.944     2   21 o  0   1.22  44.00000  22.00000  1665.46  7196.92 2.06 2.01  -3.1 -0.432 18.65 19.18 02a59531o0538o
59531.445287 -20.907  1.449   -16   23 o  0   1.04  44.00000  22.00000  1687.97  7080.98 1.97 1.89  32.9 -0.447 18.79 19.40 02a59531o0559o
59539.544173 -20.515  1.560   -23   35 o  0   1.19  44.00000  22.00000  8816.07  3500.44 2.10 2.01  25.1 -0.412 18.35 18.64 02a59539o0795o
59539.572776 -18.475  8.883  -148 1314 o  0   1.03  44.00000  22.00000  8796.38  3460.92 2.32 2.15  31.5 -0.466 14.92 14.92 02a59539o0854o
59539.605051 -17.762  1.408  -285  402 o  0   1.37  44.00000  22.00000  8871.91  3429.44 2.27 2.21  86.3 -0.466 15.65 15.49 02a59539o0918o
59541.395653 -20.661  1.039   -20   20 o  0   1.28  44.00000  22.00000  8067.99  9183.78 2.90 2.83  70.8 -0.456 18.95 19.87 01a59541o0459o
59541.419204 -24.959 59.000    -0   22 o  0   1.17  44.00000  22.00000  8094.49  9221.09 2.89 2.78  62.8 -0.461 18.91 19.79 01a59541o0508o
59541.424322  21.438  2.306    10   22 o  0   1.18  44.00000  22.00000  8033.64  9145.18 2.97 2.85  59.2 -0.452 18.88 19.81 01a59541o0519o
59541.429689  22.823 11.000     3   30 o  0   0.99  44.00000  22.00000  8017.87  9261.80 3.05 2.80  42.1 -0.444 18.31 19.34 01a59541o0530o
59543.399924  21.645  1.557     8   12 o  0   0.97  44.00000  22.00000  8826.94  3495.22 2.04 2.00  52.0 -0.432 19.45 20.43 02a59543o0473o
59543.407833  21.505  1.409     9   13 o  0   1.02  44.00000  22.00000  8810.43  3456.85 2.09 2.02  27.9 -0.426 19.41 20.42 02a59543o0489o
59543.411048  21.610  1.506     8   12 o  0   0.89  44.00000  22.00000  8869.17  3535.51 2.02 1.99  49.0 -0.434 19.43 20.41 02a59543o0496o
59543.421165 -22.750  3.667    -3   11 o  0   1.46  44.00000  22.00000  8888.24  3419.17 1.99 1.96  44.6 -0.435 19.45 20.39 02a59543o0517o
59545.418224  23.069  6.818     2   15 o  0   1.07  44.00000  22.00000  2885.06  5218.26 2.75 2.59 -45.9 -0.481 19.14 20.47 01a59545o0520o
59545.423318 -20.187  0.431   -31   13 o  0   0.99  44.00000  22.00000  2905.95  5257.06 2.77 2.60 -46.9 -0.478 19.13 20.50 01a59545o0531o
59545.426612 -21.198  1.162   -12   14 o  0   0.87  44.00000  22.00000  2846.82  5180.24 2.78 2.67 -46.0 -0.473 19.26 20.59 01a59545o0538o
59545.438078 -19.663  0.800   -50   40 o  0   1.06  44.00000  22.00000  2831.45  5297.05 2.77 2.60 -36.7 -0.493 18.68 20.09 01a59545o0562o
59557.339557  22.648  4.062     3   13 o  0   1.09  44.00000  22.00000  4251.88   816.89 2.98 2.83 -47.2 -0.467 19.24 20.70 01a59557o0337o
59557.342406  21.475  1.413     9   13 o  0   1.17  44.00000  22.00000  4273.80   856.50 3.03 2.87 -43.7 -0.459 19.23 20.71 01a59557o0343o
59557.380826  21.301  1.138    11   12 o  0   1.11  44.00000  22.00000  4219.23   899.12 2.86 2.82 -54.2 -0.462 19.29 20.80 01a59557o0377o
59561.336621 -19.879  0.514   -41   21 o  0   1.25  44.00000  22.00000  5971.25  7381.06 2.88 2.80 -41.4 -0.468 18.84 19.74 01a59561o0320o
59561.340327  20.030  0.577    35   20 o  0   1.32  44.00000  22.00000  5993.95  7420.96 2.83 2.72 -52.9 -0.473 18.89 19.74 01a59561o0328o
59561.352570  23.274 10.500     2   19 o  0   1.17  44.00000  22.00000  5942.38  7343.40 2.77 2.72 -46.7 -0.472 18.85 19.75 01a59561o0353o
59561.358564  20.653  0.972    20   19 o  0   1.15  44.00000  22.00000  5927.95  7462.13 2.88 2.79 -56.0 -0.464 18.90 19.81 01a59561o0366o
59569.437132  19.683  0.619    49   30 o  0   0.90  44.00000  22.00000  8425.28  1019.11 2.64 2.43 -54.1 -0.547 18.58 19.18 01a59569o0201o
59569.441295  24.990 76.000     0   28 o  0   0.97  44.00000  22.00000  8443.82  1058.27 2.67 2.49 -56.7 -0.541 18.48 19.12 01a59569o0210o
59569.446835 -20.133  0.982   -32   32 o  0   1.40  44.00000  22.00000  8390.40   983.21 2.68 2.48 -56.0 -0.538 18.34 18.98 01a59569o0222o
59569.459284 -24.436 57.333    -1   35 o  0   0.90  44.00000  22.00000  8377.01  1106.42 2.83 2.55 -61.1 -0.543 18.35 18.92 01a59569o0249o
59571.459632 -20.069  0.732   -34   25 o  0   1.13  44.00000  22.00000  4538.13  1234.08 1.99 1.92  79.9 -0.471 18.52 18.99 02a59571o0020o
59571.463760  19.658  0.443    50   22 o  0   1.63  44.00000  22.00000  4517.90  1195.15 2.01 1.91  66.4 -0.456 18.24 18.73 02a59571o0029o
59571.470166  22.682  7.739     3   24 o  0   1.39  44.00000  22.00000  4577.56  1272.97 1.98 1.88 -67.0 -0.464 18.51 19.05 02a59571o0043o
59571.480266 -21.321  2.205   -11   24 o  0   0.85  44.00000  22.00000  4596.36  1154.77 2.03 1.94 -87.1 -0.465 18.57 19.15 02a59571o0065o
59573.302863 -21.686  1.842    -8   14 o  0   1.20  44.00000  22.00000  8347.86  1001.30 2.99 2.68 -53.8 -0.519 19.28 20.74 01a59573o0250o
59573.307611 -23.650 13.167    -1   17 o  0   0.86  44.00000  22.00000  8369.63  1040.20 2.98 2.73 -58.5 -0.531 19.26 20.72 01a59573o0260o
59573.313680  20.596  0.743    21   16 o  0   0.92  44.00000  22.00000  8314.53   964.33 2.92 2.66 -51.7 -0.526 19.28 20.71 01a59573o0273o
59573.323833 -20.952  0.939   -15   14 o  0   1.04  44.00000  22.00000  8301.87  1083.24 2.81 2.54 -60.9 -0.533 19.29 20.73 01a59573o0295o
59580.837947  19.573  0.402    54   22 o  0   1.29  44.00000  22.00000   531.31 10147.05 3.08 2.33  88.0 -0.442 18.82 20.03 03a59581o0017o
59580.841236  23.297 16.000     2   28 o  0   1.00  44.00000  22.00000  4803.14   160.02 3.46 2.53  87.5 -0.420 18.84 20.11 03a59581o0024o
59580.844065  20.667  1.352    20   26 o  0   1.62  44.00000  22.00000  4813.86   199.24 3.43 2.49  90.0 -0.440 18.87 20.12 03a59581o0030o
59580.847811 -22.767  8.182    -3   23 o  0   1.04  44.00000  22.00000   480.09 10266.06 3.18 2.42  89.0 -0.436 18.81 20.08 03a59581o0038o
59580.849266 -21.533  2.880    -9   26 o  0   1.62  44.00000  22.00000  4744.83   121.28 3.43 2.43  87.9 -0.427 18.85 20.09 03a59581o0041o
59580.859082  19.741  0.504    46   23 o  0   1.24  44.00000  22.00000  4698.34   243.13 4.06 3.06  88.5 -0.366 18.74 20.15 03a59581o0062o
59584.829154  20.167  0.517    31   16 o  0   0.93  44.00000  22.00000  3872.63  8234.18 2.90 2.83  70.5 -0.417 18.90 20.68 03a59585o0090o
59584.831951  20.545  0.722    22   16 o  0   1.13  44.00000  22.00000  3883.91  8272.99 2.79 2.68  49.7 -0.418 19.04 20.75 03a59585o0096o
59584.838145  20.684  0.806    19   16 o  0   1.14  44.00000  22.00000  3811.70  8195.69 3.00 2.81 -89.0 -0.410 18.98 20.75 03a59585o0108o
59584.847949  23.354 10.800     2   18 o  0   1.09  44.00000  22.00000  3761.75  8315.99 3.38 3.19  80.6 -0.366 18.86 20.82 03a59585o0129o
59587.330298  21.751  1.603     7   12 o  0   1.26  44.00000  22.00000  8763.95  1562.52 2.12 1.73 -55.7 -0.475 19.51 20.65 02a59587o0310o
59587.335828  21.823  1.750     7   12 o  0   1.07  44.00000  22.00000  8745.09  1522.57 2.12 1.77 -54.5 -0.474 19.45 20.63 02a59587o0322o
59587.339501  21.103  0.847    13   11 o  0   0.83  44.00000  22.00000  8803.87  1601.44 2.07 1.72 -53.3 -0.476 19.44 20.62 02a59587o0330o
59587.349613  22.385  3.077     4   12 o  0   1.05  44.00000  22.00000  8827.11  1482.87 2.10 1.73 -52.2 -0.482 19.45 20.59 02a59587o0352o
59589.257551  21.655  2.727     8   22 o  0   0.85  44.00000  22.00000  3666.08  7035.08 3.28 3.27 -60.3 -0.417 18.84 20.01 01a59589o0127o
59589.260812  22.044  3.565     6   20 o  0   1.05  44.00000  22.00000  3687.87  7073.71 3.29 3.20 -45.5 -0.435 18.83 20.01 01a59589o0134o
59589.266457 -24.607 31.000    -0   16 o  0   1.27  44.00000  22.00000  3631.97  6998.15 2.71 2.69 -58.8 -0.479 19.01 20.02 01a59589o0146o
59589.276225  22.439  4.381     4   17 o  0   1.15  44.00000  22.00000  3619.97  7116.05 2.80 2.74 -50.0 -0.476 19.02 20.05 01a59589o0166o
59597.269322  20.706  1.336    19   25 o  0   0.88  44.00000  22.00000  4789.82  5084.96 2.69 2.58 -49.1 -0.493 18.75 19.46 01a59597o0165o
59597.272547  20.201  0.779    30   24 o  0   1.03  44.00000  22.00000  4812.15  5123.58 2.68 2.60 -34.1 -0.494 18.77 19.45 01a59597o0172o
59597.280243 -22.109  4.067    -5   21 o  0   1.17  44.00000  22.00000  4754.96  5047.63 2.56 2.49  56.0 -0.494 18.75 19.47 01a59597o0188o
59597.291740 -20.964  1.302   -15   20 o  0   1.81  44.00000  22.00000  4744.29  5165.52 2.61 2.56 -32.6 -0.501 18.67 19.32 01a59597o0212o
59597.801692  19.924  0.854    39   33 o  0   1.17  44.00000  22.00000 10066.36  8552.24 3.12 2.51 -89.1 -0.408 18.27 19.05 03a59598o0036o
59597.804977  22.012  5.346     6   30 o  0   1.22  44.00000  22.00000 10077.06  8592.38 2.97 2.32  84.7 -0.431 18.36 18.98 03a59598o0043o
59597.810675 -18.757  0.295  -114   34 o  0   1.40  44.00000  22.00000 10005.45  8518.25 2.99 2.32  86.1 -0.426 18.27 18.90 03a59598o0055o
59597.820544 -20.040  1.108   -35   39 o  0   0.97  44.00000  22.00000  9957.92  8642.91 2.96 2.32  86.0 -0.432 18.21 18.78 03a59598o0076o
59601.290781   0.000 20.961    -0   15 o  0   1.03  44.00000  22.00000  3844.33  8988.46 2.97 2.75 -45.0 -0.466 19.24 20.72 01a59601o0211o
59601.294943 -20.028  0.379   -35   13 o  0   1.02  44.00000  22.00000  3867.10  9027.60 2.91 2.85 -41.2 -0.448 19.26 20.70 01a59601o0220o
59601.300936 -21.624  1.581    -8   13 o  0   1.35  44.00000  22.00000  3810.46  8952.37 2.91 2.70 -44.5 -0.471 19.25 20.67 01a59601o0233o
59601.321759 -21.502  1.702    -9   16 o  0   1.28  44.00000  22.00000  3800.20  9071.47 2.96 2.73 -49.0 -0.471 19.10 20.39 01a59601o0278o
59601.801360  21.014  1.377    14   20 o  0   0.69  44.00000  22.00000  1672.55  6966.78 2.29 2.19  54.4 -0.444 19.02 20.26 03a59602o0053o
59601.804652 -20.809  0.968   -17   17 o  0   1.08  44.00000  22.00000  1692.68  7008.00 2.28 2.14  14.3 -0.451 19.00 20.22 03a59602o0060o
59601.810259  22.868  6.643     3   17 o  0   1.15  44.00000  22.00000  1637.65  6929.52 2.30 2.17  62.6 -0.444 19.01 20.29 03a59602o0072o
59601.823838 -21.531  1.688    -9   15 o  0   1.26  44.00000  22.00000  1619.21  7047.66 2.26 2.17  20.1 -0.438 19.02 20.33 03a59602o0101o
59603.354903 -21.426  1.183   -10   12 o  0   1.27  44.00000  22.00000  9660.53  7306.56 2.30 2.28  33.5 -0.447 19.52 20.81 02a59603o0194o
59603.357690 -20.905  0.643   -16   10 o  0   1.47  44.00000  22.00000  9642.38  7266.96 2.30 2.27  26.0 -0.448 19.49 20.81 02a59603o0200o
59603.364107 -20.185  0.358   -31   11 o  0   1.21  44.00000  22.00000  9700.24  7346.60 2.41 2.41 -38.6 -0.442 19.45 20.83 02a59603o0214o
59603.375108  21.083  0.904    13   12 o  0   1.63  44.00000  22.00000  9723.63  7227.69 2.49 2.46  28.4 -0.437 19.42 20.80 02a59603o0238o
59605.786516 -21.677  2.710    -8   21 c  0   1.27  44.00000  22.00000  1672.99  6968.26 2.84 2.67  68.6 -0.430 18.72 20.19 03a59606o0047c
59605.789798 -20.915  0.985   -16   15 c  0   1.10  44.00000  22.00000  1692.67  7009.34 2.70 2.57  60.6 -0.421 19.02 20.60 03a59606o0054c
59605.794949 -21.686  1.970    -8   15 c  0   1.24  44.00000  22.00000  1638.13  6931.53 2.71 2.51  67.2 -0.438 19.16 20.97 03a59606o0065c
59605.805734  24.158 19.333     1   15 c  0   0.87  44.00000  22.00000  1620.87  7051.14 2.95 2.74  64.0 -0.403 19.13 21.14 03a59606o0088c
59606.262486  21.025  0.830    14   12 o  0   1.18  44.00000  22.00000  3833.60  8986.42 2.62 2.53 -44.9 -0.481 19.37 20.75 01a59606o0144o
59606.265742  21.982  2.250     6   13 o  0   1.12  44.00000  22.00000  3857.20  9025.60 2.65 2.55 -49.7 -0.477 19.36 20.74 01a59606o0151o
59606.271045 -20.029  0.308   -35   11 o  0   1.15  44.00000  22.00000  3798.86  8950.13 2.62 2.51 -51.6 -0.487 19.36 20.72 01a59606o0162o
59606.288262 -21.846  1.800    -7   12 o  0   1.21  44.00000  22.00000  3788.98  9069.41 2.69 2.55 -48.4 -0.481 19.34 20.68 01a59606o0199o
59607.253644  20.571  0.594    22   13 o  0   1.17  44.00000  22.00000  3830.60  8986.66 2.62 2.42 -44.4 -0.499 19.30 20.55 01a59607o0124o
59607.256881 -21.321  1.221   -11   13 o  0   1.45  44.00000  22.00000  3853.36  9026.20 2.64 2.45 -41.4 -0.498 19.32 20.58 01a59607o0131o
59607.262868  22.024  2.417     6   14 o  0   1.06  44.00000  22.00000  3795.73  8950.55 2.62 2.44 -46.0 -0.502 19.33 20.59 01a59607o0144o
59607.274144  23.060  6.071     2   13 o  0   1.38  44.00000  22.00000  3784.00  9069.89 2.60 2.42 -44.8 -0.508 19.34 20.56 01a59607o0168o
59609.250178 -21.509  1.575    -9   14 o  0   0.73  44.00000  22.00000  9682.97  7303.53 2.15 2.01 -61.0 -0.459 19.47 20.50 02a59609o0115o
59609.255726  20.391  0.500    25   13 o  0   1.36  44.00000  22.00000  9663.11  7264.42 2.11 1.96 -58.5 -0.469 19.53 20.51 02a59609o0127o
59609.258964 -20.804  0.693   -17   12 o  0   1.34  44.00000  22.00000  9721.18  7343.34 2.14 2.02 -58.0 -0.460 19.50 20.53 02a59609o0134o
59609.284539 -23.583  8.818    -1   12 o  0   1.12  44.00000  22.00000  9741.40  7229.55 2.21 2.11 -58.9 -0.457 19.53 20.61 02a59609o0189o
59610.304436  21.207  1.129    12   14 o  0   0.82  44.00000  22.00000  4692.39  3162.75 2.75 2.58 -45.7 -0.480 19.29 20.65 01a59610o0232o
59610.307659 -22.643  4.167    -3   13 o  0   1.01  44.00000  22.00000  4713.79  3201.78 2.76 2.64 -53.1 -0.479 19.26 20.64 01a59610o0239o
59610.313659 -22.039  2.724    -6   15 o  0   0.84  44.00000  22.00000  4657.86  3125.98 2.79 2.67 -48.5 -0.470 19.20 20.58 01a59610o0252o
59610.328431  21.792  2.342     7   16 o  0   0.85  44.00000  22.00000  4647.78  3245.30 2.82 2.69 -53.9 -0.471 19.20 20.54 01a59610o0284o
59613.275128  20.400  0.441    25   11 c  0   0.67  44.00000  22.00000  1590.48  5223.71 2.40 2.26 -51.8 -0.438 19.55 21.19 02a59613o0165c
59613.278795 -21.752  1.316    -7   10 c  0   1.01  44.00000  22.00000  1571.70  5184.31 2.32 2.19 -49.7 -0.448 19.56 21.19 02a59613o0173c
59613.284745 -22.760  3.545    -3   10 c  0   1.13  44.00000  22.00000  1630.30  5260.44 2.34 2.22 -47.7 -0.445 19.52 21.19 02a59613o0186c
59613.298541 -23.055  4.312    -2    9 c  0   1.21  44.00000  22.00000  1652.17  5142.45 2.40 2.29 -53.2 -0.434 19.49 21.18 02a59613o0216c
59614.231974 -21.603  1.000    -8    8 c  0   1.68  44.00000  22.00000  1597.32  5226.15 2.26 2.25 -41.3 -0.441 19.55 21.10 02a59614o0070c
59614.235170  22.046  1.478     6    8 c  0   1.27  44.00000  22.00000  1579.09  5189.04 2.25 2.16 -54.7 -0.444 19.59 21.11 02a59614o0077c
59614.246419 -21.179  0.922   -12   11 c  0   0.81  44.00000  22.00000  1634.09  5263.71 2.24 2.15 -51.0 -0.447 19.59 21.14 02a59614o0101c
59614.260861  21.489  0.893     9    8 c  0   1.25  44.00000  22.00000  1655.22  5146.20 2.28 2.19 -60.3 -0.438 19.57 21.15 02a59614o0132c
59615.231680 -21.168  1.163   -12   14 o  0   0.94  44.00000  22.00000  4660.47  3158.27 2.52 2.50 -34.1 -0.495 19.35 20.60 01a59615o0040o
59615.234903 -22.168  2.375    -5   12 o  0   1.06  44.00000  22.00000  4683.43  3197.89 2.51 2.50 -43.0 -0.498 19.32 20.60 01a59615o0047o
59615.241717 -20.262  0.426   -28   12 o  0   1.21  44.00000  22.00000  4627.46  3121.54 2.55 2.50 -25.7 -0.495 19.33 20.60 01a59615o0061o
59615.255145 -21.436  1.109   -10   11 o  0   1.46  44.00000  22.00000  4617.91  3239.86 2.56 2.40 -44.5 -0.508 19.32 20.62 01a59615o0090o
59616.231259 -21.587  2.053    -8   17 o  0   0.86  44.00000  22.00000  7951.06  7236.02 3.24 3.06  32.5 -0.405 19.09 20.41 01a59616o0033o
59616.234025 -23.530 11.857    -1   17 o  0   0.90  44.00000  22.00000  7974.85  7273.35 3.09 2.83  42.3 -0.435 19.16 20.45 01a59616o0039o
59616.240144 -21.554  1.778    -9   15 o  0   1.09  44.00000  22.00000  7916.22  7199.33 2.97 2.77  42.5 -0.451 19.18 20.43 01a59616o0052o
59616.261520  21.372  1.654    10   17 o  0   1.07  44.00000  22.00000  7911.03  7319.29 2.99 2.82  52.7 -0.446 19.15 20.40 01a59616o0097o
59617.223363 -20.625  0.817   -20   17 o  0   1.05  44.00000  22.00000  1594.65  5222.93 2.19 2.07 -50.7 -0.453 19.08 19.78 02a59617o0050o
59617.228880  20.060  0.444    34   15 o  0   1.30  44.00000  22.00000  1574.84  5182.50 2.22 2.14 -53.2 -0.455 19.14 19.92 02a59617o0062o
59617.233193 -20.546  0.788   -22   17 o  0   1.51  44.00000  22.00000  1632.29  5258.41 2.47 2.36 -53.4 -0.453 19.00 19.95 02a59617o0071o
59617.243265  20.760  0.879    18   16 o  0   1.14  44.00000  22.00000  1651.25  5141.35 2.21 2.11 -52.9 -0.457 19.12 19.95 02a59617o0093o
59620.216185 -20.664  3.422   -20   67 o  0   0.90  44.00000  22.00000  7972.10  7237.04 2.72 2.60  56.2 -0.490 18.38 18.78 01a59620o0016o
59620.219474  21.916  5.108     6   32 o  0   1.69  44.00000  22.00000  7993.28  7275.64 2.71 2.59  54.9 -0.479 18.69 19.24 01a59620o0023o
59620.228357 -21.502  2.870    -9   26 o  0   1.13  44.00000  22.00000  7935.45  7201.52 2.69 2.61  81.9 -0.478 18.85 19.57 01a59620o0042o
59620.239155  22.482  7.455     4   28 o  0   1.02  44.00000  22.00000  7919.61  7319.42 2.66 2.60 -78.7 -0.481 18.83 19.53 01a59620o0064o
59621.263528 -22.410  5.383    -4   21 o  0   1.29  44.00000  22.00000   111.58  9626.89 2.06 1.43 -50.9 -0.591 19.09 19.58 02a59621o0116o
59621.267679 -22.137  4.066    -5   21 o  0   1.33  44.00000  22.00000    92.14  9587.26 2.07 1.40 -51.7 -0.580 19.10 19.57 02a59621o0125o
59621.274161  20.537  0.988    22   22 o  0   1.10  44.00000  22.00000   152.62  9663.52 2.17 1.43 -50.4 -0.499 19.07 19.55 02a59621o0139o
59621.285189 -20.164  0.677   -31   21 o  0   1.18  44.00000  22.00000   171.56  9544.61 1.99 1.41 -54.0 -0.617 19.03 19.50 02a59621o0163o
59621.328016  19.835  0.532    42   22 o  0   1.14  44.00000  22.00000  9983.91  9651.65 2.48 1.96 -45.7 -0.437 18.91 19.25 02a59621o0255o
59621.332169 -19.579  0.456   -54   24 o  0   1.00  44.00000  22.00000  9963.44  9611.61 2.38 1.99 -42.4 -0.438 18.87 19.24 02a59621o0263o
59621.365894  20.582  1.292    21   28 o  0   1.07  44.00000  22.00000 10010.96  9692.89 2.43 2.07 -38.8 -0.430 18.60 18.93 02a59621o0334o
59622.221303 -20.985  1.369   -15   20 o  0   1.31  44.00000  22.00000   115.79  9629.03 2.54 1.56 -55.4 -0.414 18.91 19.27 02a59622o0023o
59622.224131  21.236  2.050    12   24 o  0   1.09  44.00000  22.00000    96.73  9589.53 2.62 1.50 -54.8 -0.411 18.98 19.44 02a59622o0029o
59622.240516 -21.912  2.882    -6   18 o  0   1.31  44.00000  22.00000   152.41  9662.50 2.52 1.40 -55.2 -0.388 19.12 19.56 02a59622o0064o
59622.252098  20.365  0.668    26   17 o  0   1.19  44.00000  22.00000   174.30  9542.67 2.33 1.37 -54.3 -0.470 19.12 19.53 02a59622o0089o
59622.253013  20.077  0.548    34   18 o  0   1.41  44.00000  22.00000  9984.17  9652.31 2.94 1.85 -51.1 -0.415 19.10 19.53 02a59622o0091o
59622.257139  19.984  0.513    37   19 o  0   1.09  44.00000  22.00000  9966.02  9613.35 2.96 1.84 -51.3 -0.420 19.08 19.53 02a59622o0100o
59622.275133 -22.363  4.400    -4   18 o  0   1.49  44.00000  22.00000 10026.05  9692.85 3.01 1.79 -51.6 -0.420 19.03 19.49 02a59622o0139o
59622.288024 -22.247  4.382    -5   20 o  0   1.17  44.00000  22.00000 10045.33  9575.60 2.86 1.84 -52.1 -0.427 19.02 19.44 02a59622o0166o
59623.218145  25.069 142.500     0   48 o  0   0.91  44.00000  22.00000  7970.65  7240.34 2.71 2.64 -82.9 -0.482 18.50 19.01 01a59623o0037o
59623.221369 -19.604  0.639   -52   33 o  0   1.05  44.00000  22.00000  7993.31  7278.83 2.78 2.68 -79.0 -0.475 18.72 19.39 01a59623o0044o
59623.228866  23.552 17.375     1   24 o  0   1.25  44.00000  22.00000  7934.67  7203.51 2.76 2.58 -66.6 -0.491 18.83 19.64 01a59623o0060o
59623.240914  19.429  0.404    61   25 o  0   1.31  44.00000  22.00000  7919.75  7323.21 2.99 2.75 -64.0 -0.466 18.78 19.64 01a59623o0086o
59624.307579  20.268  1.032    28   29 o  0   0.96  44.00000  22.00000  8891.03  3354.30 2.87 2.53 -65.2 -0.520 18.54 19.22 01a59624o0230o
59624.314959  20.964  1.909    15   28 o  0   1.44  44.00000  22.00000  8910.54  3394.75 2.96 2.56 -64.8 -0.520 18.45 19.18 01a59624o0246o
59624.318645 -20.065  0.816   -34   28 o  0   1.33  44.00000  22.00000  8851.79  3320.56 2.93 2.50 -64.4 -0.533 18.47 19.15 01a59624o0254o
59624.333098  19.091  0.350    84   29 o  0   1.25  44.00000  22.00000  8836.31  3442.80 2.91 2.50 -63.2 -0.534 18.38 18.99 01a59624o0285o
59625.247767  21.191  2.206    12   27 o  0   1.08  44.00000  22.00000  9986.06  9660.27 2.66 2.60 -26.4 -0.443 18.75 19.35 02a59625o0005o
59625.256532  21.504  2.710     9   25 o  0   0.64  44.00000  22.00000  9968.33  9620.21 2.34 2.17 -38.1 -0.448 18.84 19.34 02a59625o0024o
59625.259739 -20.647  1.083   -20   22 o  0   0.97  44.00000  22.00000 10026.96  9698.64 2.52 2.19 -42.9 -0.417 18.85 19.33 02a59625o0031o
59625.271845 -23.292 13.154    -2   23 o  0   1.24  44.00000  22.00000 10046.38  9579.45 2.51 2.13 -46.8 -0.411 18.86 19.30 02a59625o0057o
